file_id,title,current_parent_path,proposed_peca,proposed_subfolder,proposed_full_path,confidence,tags,rationale,mime_type,size_bytes,duplicate_of,flag_review
B2B-001,"0 ANOTAÇÕES SOBRE B2B _ PARCERIA ADVOGADA.docx","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/notas-parceria,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/notas-parceria/,0.55,"b2b;parceria;notas;ciclo-incerto","Notas genéricas parceria advogada sem identificação de ciclo (Alencar/Melo) — MD5 distinto do homônimo sem prefixo '0 '",docx,9002,,true
B2B-002,"Dra. Juliana Alencar _ relatório de referência estratégica para o Meu Cumpadre.md","B2B - ADVOGADOS/",7,07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico,07_EXERCITO_ESPECIALISTAS/07A_JURIDICO_DRA_JULIANA_MELO/correspondencia/alencar-historico/,0.80,"dra-juliana-alencar;referencia-estrategica;ciclo-encerrado;contem-terceiro-nominal;dd","Relatório DD sobre Alencar (ciclo fundacional encerrado 13/04, mas Alencar retornou ao marketplace como independente 18/04). Preservar como registro histórico.",md,16252,,true
B2B-003,"GROK _ Relatório Problematização mercado Advocacia Brasileira.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.85,"dossie-externo;grok;mercado-advocacia;crise-estrutural","Dossiê externo contexto estratégico mercado advocacia — alimenta racional do Firewall OAB. Subpasta 08F proposta nova (não prevista no esqueleto).",pdf,2457108,,false
B2B-004,"PERPLEXITY _ Dossiê A Crise Estrutural da Advocacia Brasileira e o Agravante da Inteligência Artificial.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.88,"dossie-externo;perplexity;mercado-advocacia;ia-impacto;duplicata-pdf","PDF duplicata do .md canônico B2B-030",pdf,1294166,B2B-030,false
B2B-005,"PERPLEXITY _ Dossie_Crise_Advocacia_Brasil_2025    versão final.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA/deprecated,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/deprecated/,0.80,"dossie-externo;perplexity;versao-antiga;deprecated;duplicata-pdf","Versão antiga superseded pela rev.2 — duplicata do .md B2B-029",pdf,719449,B2B-029,true
B2B-006,"PERPLEXITY _ Dossie_Crise_Advocacia_Brasil_2025    versão final  rev.2.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.90,"dossie-externo;perplexity;rev2;canonical-pdf;duplicata-pdf","PDF da versão rev.2 canônica (md B2B-028)",pdf,1056506,B2B-028,false
B2B-007,"GROK2 _ Densidade de Advogados por Estado (Foco Centro-Oeste e Goiás).pdf","B2B - ADVOGADOS/",5,05C_ADVOGADO_INTERIOR,05_ANCORA_R12k_JORNADA_CONVENCIONAL/05C_ADVOGADO_INTERIOR/,0.85,"dossie-externo;grok;densidade-advogados;benchmark-estado;centro-oeste;goias","Benchmark estatal de densidade de advogados — feed direto para 05C (âncora R$12k, camada advogado interior)",pdf,1766611,,false
B2B-008,"GROK3 _ Advocacia Previdenciária no Brasil (Abril 2026).pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.82,"dossie-externo;grok;advocacia-previdenciaria;abril-2026","Recorte mercado advocacia previdenciária",pdf,2331245,,false
B2B-009,"0 METAPROMPT PERPLEXITY.txt","B2B - ADVOGADOS/",9,09Z_QUARENTENA_NAO_CLASSIFICADO,09_ARQUIVO_LEGADO/09Z_QUARENTENA_NAO_CLASSIFICADO/,0.30,"vazio;txt-0-bytes","Arquivo 0 bytes — metaprompt não salvo. Quarentena para decisão Founder (deletar ou recuperar)",txt,0,,true
B2B-010,"GROK4 _ DOSSIÊ EXECUTIVO _ CORRELAÇÃO CAUSAL ENTRE A CRISE ESTRUTURAL DA ADVOCACIA BRASILEIRA E A FALÊNCIA ADMINISTRATIVA DO INSS - Dados primários janeiro-abril-2026.pdf","B2B - ADVOGADOS/",8,08F_MERCADO_ADVOCACIA_BRASILEIRA,08_JURIDICO_FIREWALL_OAB/08F_MERCADO_ADVOCACIA_BRASILEIRA/,0.88,"dossie-externo;grok;correlacao-crise-inss;dados-primarios;abril-2026","Cruzamento crise advocacia × falência INSS — relevante para tese estratégica MC",pdf,2512607,,false
